,SMILES,True
114,COc1nc(C)sc1C(=O)NC1C2CC3CC1CC(O)(C3)C2,0.55
115,CCc1c(CCN2CCC(C(=O)O)CC2)cccc1-c1nsc(-c2ccc(OC(C)C)c(Cl)c2)n1,0.0045
116,COc1ccc(CNC(=O)c2cc(-c3cncc(Cl)c3)cnc2-c2ccccn2)nc1OC,0.06
117,Cc1c(Cl)ccc(OC2CCN(CC(O)CN=C(O)c3cnc(O)cc3C(F)(F)F)CC2)c1Cl,0.04
118,CCN(CC(O)(CNC(=O)c1cnn(-c2ccc(F)cc2)c1N)C(F)(F)F)C(=O)c1c(Cl)cccc1Cl,0.01
119,CNC(C)C(O)=NC1CCCC2CC3CCN(C(=O)C(c4ccccc4)c4ccccc4)CC3N2C1=O,0.039
120,CC(=O)Nc1ccc2ccn(-c3cc(NCCN4CCCC4)n4ncc(C#N)c4n3)c2c1,0.0559999999999999
121,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,0.0379999999999999
122,CC(C(=O)NCCCN1CCCC1)c1ccc(OS(=O)(=O)C(F)(F)F)cc1,0.38
123,O=C(O)c1cn(-c2ccccc2)c2cc(N3CCNCC3)c(F)cc2c1=O,0.607
124,CCOc1cc2[nH]cc(C(=N)O)c(=Nc3ccc(F)cc3F)c2cc1N1CCCN(C2CC2)CC1,0.022
125,Cc1ccc2c(N3CCN(CCc4cccc(N5CCNC5=O)c4)CC3)cccc2n1,0.0409999999999999
126,Cn1cnc(S(=O)(=O)N2CC3C(C2)C3(CNC(=O)c2cc(Cl)cc(Cl)c2)CC2CC2)c1,0.02
127,CC1OC(n2cc(F)c(O)nc2=O)C(O)C1O,0.61
128,COC1CN(c2nc(C(O)=NCC3OCCO3)c(C(=O)O)s2)CCC1N=C(O)c1[nH]c(C)c(Cl)c1Cl,0.0279999999999999
129,COc1cc(S(C)=O)ccc1-c1nc2ncccc2[nH]1,0.41
130,CN1CCc2nc(COc3ccccc3)sc2C1=O,0.1099999999999999
131,CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.0116999999999999
132,COc1cc(C=CC(=O)O)ccc1O,0.2650000033333333
133,COc1ccc(Cn2cc(C(=O)O)c(=O)c3ccccc32)cc1,0.009
134,Nc1ccc(-c2ccc(Cn3cc(C(=O)O)c(=O)c4cccc(F)c43)nc2)cn1,0.0909999999999999
135,CC(C)C(=O)OCC(C)(C)C(OC(=O)C(C)C)C(C)C,9.42e-07
136,Oc1ccc2c(c1)CCC(c1ccccc1)C2c1ccc(OCCN2CCCC2)cc1,0.01
137,Cc1ccc(C2CC(C(F)(F)F)n3ncc(C(=O)NCc4ccc(F)cn4)c3N2)cc1,0.01
138,N#Cc1ccccc1Oc1ccc(C(=O)NCc2ccncc2)cc1,0.0849999999999999
139,CC(CC1c2ccccc2CCc2ccccc21)CN(C)C,0.0500000003333333
140,NC(=O)c1cccc(-c2ccc(O)c(C(=O)O)c2)c1,0.022
141,CCOP(=S)(OCC)SCCSCC,0.002500825
142,O=C(Nc1cc(C(F)(F)F)no1)NC12CC3CC(CC(C3)C1)C2,0.004
143,N#Cc1ccc(CN2CCN(c3ccc4nnc(C(F)(F)F)n4n3)CC2)cc1,0.044
144,CCN(CC)C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C(O)=Nc2ccccc2)C1,0.01
145,CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,0.05
146,CNC(=O)c1ccc(F)c2c(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)CC3)c[nH]c12,0.0109999999999998
147,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,0.0999999999999999
148,Cc1cc2ccc1C(C)COC(=O)Nc1ccc(C3(C(=O)O)CCCC3)c(c1)CN(C)C(=O)C2Nc1ccc2c(N)ncc(F)c2c1,0.028
149,Cc1cnc(Nc2ccc(F)cc2Cl)nc1-c1c[nH]c(C(=O)NC(CO)c2cccc(Cl)c2)c1,0.01
150,CC(=O)Nc1c(I)c(C(=O)O)c(I)c(N(C)C(C)=O)c1I,0.9994966666666666
151,Cc1ccc(NC(=O)C2(c3ccc4c(c3)OC(F)(F)O4)CC2)nc1-c1cccc(C(=O)O)c1,0.01
152,COc1ccc(CN2CCNCC2)c(OC)c1OC,0.85
153,Cc1cccc(C)c1NC(=O)NCCCNC(C)C,0.84966667
154,Cc1nc(C2CCN(C(=O)C3CC(C)(N(C)C)CC3c3ccc(F)cc3F)CC2)n(-c2cc(Cl)ccc2Cl)n1,0.3299999999999999
155,COCC(=O)N(Cc1ccsc1)C1CCN(C(C)CCN=C(O)c2c(C)cc(Cl)nc2C)CC1,0.63
156,CCc1c(CC)c(CC)c(CC)c(CC)c1CC,0.16
157,Cc1cc(C2CCN(C(=O)C3CC(C)(N)CC3c3ccc(F)cc3F)CC2)n(-c2ccc(F)c(Cl)c2)n1,0.069
158,CN(C)CCn1cnnc1SCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3csc(N)n3)C2SC1,0.60000001
159,O=C(O)c1ccc(-c2ccc(OC3OC(CO)C(O)C(O)C3O)cc2Cl)cc1,0.17
160,CC(C)N(CCCCOCC(N)=O)c1cnc(-c2ccccc2)c(-c2ccccc2)n1,0.01
161,C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NO)c3csc(N)n3)C2SC1,0.3319999966666666
162,COC(=O)c1ccc(CNS(C)(=O)=O)cc1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,0.0025
163,O=C(Nc1nc2ccccc2s1)NC12CC3CC(CC(C3)C1)C2,0.002
164,O=C(CCn1cnc([N+](=O)[O-])n1)Nc1cccc(OCc2ccccc2)c1,0.0374999999999999
165,CCOc1ncc(C)c2c1C(c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2,0.0799999999999999
166,O=C(O)c1cn(Cc2ccc(-c3ccccc3)cc2)c2cccc(F)c2c1=O,0.008
167,CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3C)c3c(n2)C(C)(CC(C)(C)O)OC3)cc1,0.3399999999999999
168,NC(=O)C1CO1,0.98
169,Cc1nc(N2CCC(O)(C3CC3)CC2)nc2ccc(NC(=O)C=Cc3ccc(Cl)cc3)cc12,0.005
170,Nc1ccc(Cl)cc1,0.264
171,CC(=O)Nc1cc(Nc2cc(NC3COC3)n3ncc(C#N)c3n2)ccc1Cl,0.12
172,COC(=S)NCC1CN(c2ccc(N3CC[Si](C)(C)CC3)c(F)c2)C(=O)O1,0.0
173,N=c1ccn(CC(CO)OCP(=O)(O)O)c(O)n1,0.948
174,O=c1cc(O)c(Cl)c[nH]1,0.6779999999999999
175,CC(C)CC(NC(=O)OCc1ccccc1)C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)O,0.35
176,O=C(O)c1cn(-c2ccc(C(F)(F)F)cc2C(F)(F)F)c2cc(N3CCNCC3)c(F)cc2c1=O,0.377
177,CC(C)(CO)CNCc1c(C(O)=NC2CCCC(O)C2)noc1-c1ccc(C(F)(F)F)cc1,0.361
178,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,0.0513333329999999
179,CON=C(C(O)=NC1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CSC12)c1csc(=N)[nH]1,0.05
